post_title,post_body,comment_num,karma,link,post_date
"Comcast Expands Costly and Pointless Broadband Caps During a Pandemic - Comcast’s monthly usage caps serve no technical purpose, existing only to exploit customers stuck in uncompetitive broadband markets.",,1211,27660,https://www.vice.com/en/article/4adxpq/comcast-expands-costly-and-pointless-broadband-caps-during-a-pandemic,2020-11-25 17:20:39
S. Korea fines Facebook 6.7 bln won for sharing users' info without consent,,433,22701,http://yna.kr/AEN20201125006500320,2020-11-25 09:53:22
Facebook fined $6.1 million in South Korea for sharing user data without consent,,44,1110,https://www.engadget.com/facebook-6-million-fine-korea-sharing-user-data-120542835.html,2020-11-25 14:10:35
Former Google CEO Eric Schmidt reportedly applied to become a citizen of Cyprus,,6,76,https://www.cnbc.com/2020/11/09/eric-schmidt-reportedly-applied-to-become-a-citizen-of-cyprus.html,2020-11-26 00:21:33
South Korean watchdog fines Facebook $6.1 million for sharing user info without consent,,34,755,https://uk.reuters.com/article/us-facebook-southkorea-fine/south-korean-watchdog-fines-facebook-6-1-million-for-sharing-user-info-without-consent-idUKKBN2850YW,2020-11-25 11:45:42
"YouTube temporarily suspends, demonetizes OANN",,2339,42583,https://www.axios.com/youtube-temporarily-suspends-demonetizes-oann-420e8ea9-66c1-4eab-9754-6e3b708483c9.html,2020-11-24 21:24:33
Comcast Prepares to Screw Over Millions With Data Caps in 2021,,15,92,https://gizmodo.com/comcast-prepares-to-screw-over-millions-with-data-caps-1845741662,2020-11-25 19:56:13
France to apply 'digital tax' on online tech giants despite US retaliation threat,,43,219,https://www.straitstimes.com/world/europe/france-to-apply-digital-tax-on-online-tech-giants-despite-us-retaliation-threat,2020-11-25 15:08:27
Europe vows to tame US data giants in multifaceted law reforms,,1,21,https://www.dw.com/en/europe-vows-to-tame-us-data-giants-in-multifaceted-law-reforms/a-55730324,2020-11-26 02:49:41
EU votes to support people fixing phones and computers,,4,30,https://appleinsider.com/articles/20/11/25/european-parliament-votes-to-facilitate-consumer-right-to-repair,2020-11-26 00:47:47
Comcast Internet data limits spark frustration for Northeast customers - Comcast will charge customers in 14 states and D.C. more if they exceed 1.2 terabytes of data in a month.,,42,157,https://www.washingtonpost.com/technology/2020/11/25/comcast-data-caps/,2020-11-25 15:47:05
AWS outage has taken down a big chunk of the internet,,13,65,https://www.theverge.com/2020/11/25/21719396/amazon-web-services-aws-outage-down-internet,2020-11-25 20:12:48
Most Black Friday products 'were same price or cheaper' beforehand,,19,145,https://www.bbc.com/news/business-55058121,2020-11-25 15:48:40
"Comcast raising TV and Internet prices, including a big hike to hidden fees",,10,38,https://arstechnica.com/information-technology/2020/11/comcast-raising-tv-and-internet-prices-including-a-big-hike-to-hidden-fees/,2020-11-25 20:18:08
"SpaceX just launched a Falcon 9 rocket for the 100th time, delivering 60 Starlink internet satellites into orbit",,43,114,https://www.businessinsider.com/spacex-falcon-9-rocket-launch-starlink-internet-satellite-elon-musk-2020-11,2020-11-25 13:48:28
