post_title,post_body,post_author,post_id,comment_num,karma,link,post_date
"Germany says it dealt with COVID-19 so well that some people doubted the virus' existence, and broke the rules. It just reported its highest daily death toll, at 487.",,nimobo,k6039q,2012,39121,https://www.businessinsider.com/germany-handled-covid-19-well-people-dont-take-it-seriously-2020-12,2020-12-03 18:10:29
"Sweden says no need for face masks as COVID-19 deaths top 7,000",,I_degress,k5ymkc,229,386,https://www.reuters.com/article/us-health-coronavirus-sweden-cases/sweden-says-no-need-for-face-masks-as-covid-19-deaths-top-7000-idUSKBN28D1TH,2020-12-03 16:53:34
Facebook to remove COVID-19 vaccine-related misinformation,,cpcp2727,k64zxu,10,60,https://www.thestar.com/news/world/europe/2020/12/03/facebook-to-remove-covid-19-vaccine-related-misinformation.html,2020-12-03 22:04:54
Quebec cancels plan to allow Christmas gatherings as COVID-19 surges,,Duck__Holliday,k62w57,5,45,https://www.cbc.ca/news/canada/montreal/quebec-christmas-covid-legault-1.5826939,2020-12-03 20:23:49
"B.C. premier says province prepared to patch holes in new federal sick-pay benefits | The government also wants to pass legislation to ensure it can deliver its COVID-19 relief election promise of $1,000 for most families and $500 for individuals.",,leftwingmememachine,k67o6j,1,7,https://www.mapleridgenews.com/news/b-c-premier-says-province-prepared-to-patch-holes-in-new-federal-sick-pay-benefits/,2020-12-04 00:20:03
Britain to cover COVID-19 vaccine side-effects under damages scheme,,VoxPopuli74,k687m7,5,8,https://uk.reuters.com/article/us-health-coronavirus-britain-vaccines-idUKKBN28D2WF,2020-12-04 00:48:17
Turkey sends medical aid to Palestine to fight COVID-19,,asinno,k6bv90,1,1,https://www.dailysabah.com/politics/diplomacy/turkey-sends-medical-aid-to-palestine-to-fight-covid-19,2020-12-04 04:28:48
COVID-19: Hackers targeted vaccine 'cold supply' chain network - state actors suspected,,CalzolariGiada,k616ba,2,12,https://news.sky.com/story/covid-19-hackers-targeted-vaccine-distribution-network-12149871,2020-12-03 19:02:48
UN: COVID-19 to worsen poverty in 47 poorest nations,,David_the_Invincible,k5tx18,9,46,https://www.dw.com/en/un-covid-19-to-worsen-poverty-in-47-poorest-nations/a-55799928?maca=en-GK_RSS_SmartNews_Volltext_ENG-20051-xml-media,2020-12-03 11:09:56
South Korea reaches a deal to purchase AstraZeneca's COVID-19 vaccine candidate,,Kristen-ame,k5y7p8,1,13,https://newsexpress.in/south-korea-reaches-a-deal-to-purchase-astrazenecas-covid-19-vaccine-candidate-world-news/,2020-12-03 16:30:32
Don't get carried away with COVID-19 vaccine 'over optimism': UK PM Boris Johnson tells Britons,,Kristen-ame,k623tm,1,4,https://newsexpress.in/dont-get-carried-away-with-covid-19-vaccine-over-optimism-uk-pm-boris-johnson-tells-britons-world-news/,2020-12-03 19:47:02
Putin orders Russia to begin large-scale COVID-19 vaccinations next week,,awokemango,k5o5ay,40,81,https://www.reuters.com/article/us-health-coronavirus-russia-putin/putin-orders-russia-to-begin-large-scale-covid-19-vaccinations-next-week-idUSKBN28C21E,2020-12-03 04:14:26
"Alberta asks federal government, Red Cross for field hospitals as COVID spreads",,idarknight,k5joq6,8,70,https://www.cbc.ca/news/canada/calgary/alberta-field-hospitals-red-cross-1.5825439,2020-12-03 00:09:15
"Japan OKs free COVID-19 vaccines for nation - Japan Times - December 3, 2020",,dewisri,k5p7ll,3,27,https://www.japantimes.co.jp/news/2020/12/02/national/free-coronavirus-vaccines/,2020-12-03 05:18:11
EU criticises 'hasty' UK approval of COVID-19 vaccine,,Superb_Instance_7921,k5risa,9,15,https://www.reuters.com/article/us-health-coronavirus-britain-eu/eu-criticises-hasty-uk-approval-of-covid-19-vaccine-idUSKBN28C1B9,2020-12-03 07:51:10
INTERPOL warns of organized crime threat to COVID-19 vaccines,,JohnWad,k5lpwk,5,40,https://www.interpol.int/en/News-and-Events/News/2020/INTERPOL-warns-of-organized-crime-threat-to-COVID-19-vaccines,2020-12-03 01:56:33
"AstraZeneca U.S. COVID-19 vaccine trial results likely in late-January, says health official",,covid19vaccine,k5sasj,0,7,https://www.reuters.com/article/health-coronavirus-astrazeneca-vaccine/astrazeneca-us-covid-19-vaccine-trial-results-likely-in-late-jan-says-health-official-idUSL4N2II3XH,2020-12-03 08:49:53
"CSIS accuses Russia, China and Iran of spreading COVID-19 disinformation",,nimobo,k6287c,4,0,https://globalnews.ca/news/7494689/csis-accuses-russia-china-iran-coronavirus-covid-19-disinformation/,2020-12-03 19:52:40
"Alberta asks Canadian government, Red Cross for field hospitals as COVID spreads | Province struggling with soaring COVID-19 cases, hospitals are overwhelmed",,leftwingmememachine,k5nzw6,7,17,https://www.cbc.ca/news/canada/calgary/alberta-field-hospitals-red-cross-1.5825439,2020-12-03 04:05:42
Nearly 100 world leaders to speak at UN session on COVID-19,,UABADBOT,k5s4tl,1,5,https://apnews.com/article/technology-coronavirus-pandemic-united-nations-united-nations-general-assembly-99f2c14a490334169cc91638fb9080e0,2020-12-03 08:36:59
COVID-19: India says entire population may not need vaccinating,,covid19vaccine,k5s9id,2,7,https://www.aljazeera.com/news/2020/12/2/india-says-may-not-need-to-vaccinate-entire-population-to-control,2020-12-03 08:47:06
Japan approves free COVID-19 vaccines for nation,,imbipolarboy,k563kl,12,247,https://www.japantimes.co.jp/news/2020/12/02/national/free-coronavirus-vaccines/,2020-12-02 11:19:59
U.S. says U.N. COVID-19 meeting is stage for Chinese 'propaganda',,Aerobics111,k5nb3l,14,12,https://www.reuters.com/article/health-coronavirus-un-usa-idUSKBN28C3CB,2020-12-03 03:26:49
Cyberattacks goal COVID-19 vaccine distribution effort,,Kristen-ame,k61uwi,0,0,https://newsexpress.in/cyberattacks-goal-covid-19-vaccine-distribution-effort/,2020-12-03 19:35:05
